dataset	method	seed	rmse	score	source	log_file
FD004	C	97	19.0704345703	2832.14355469	final	/CMAPSS-release/logs/FD004_FD004_C/seed97/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_130636_seed97.log
FD004	D	2	18.2195396423	2252.07006836	final	/CMAPSS-release/logs/FD004_FD004_D/seed2/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_131252_seed2.log
FD004	D	17	17.653131485	2173.38525391	final	/CMAPSS-release/logs/FD004_FD004_D/seed17/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_132028_seed17.log
FD004	D	27	18.5438671112	2071.17822266	final	/CMAPSS-release/logs/FD004_FD004_D/seed27/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_132555_seed27.log
FD004	D	30	17.5920391083	1719.04333496	final	/CMAPSS-release/logs/FD004_FD004_D/seed30/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_133122_seed30.log
FD004	D	33	17.4155807495	1717.21154785	final	/CMAPSS-release/logs/FD004_FD004_D/seed33/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_133646_seed33.log
FD004	D	51	18.1174488068	2184.18188477	final	/CMAPSS-release/logs/FD004_FD004_D/seed51/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_134202_seed51.log
FD004	D	62	18.0156745911	2125.86914062	final	/CMAPSS-release/logs/FD004_FD004_D/seed62/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_134722_seed62.log
FD004	D	80	17.8266735077	2064.92480469	final	/CMAPSS-release/logs/FD004_FD004_D/seed80/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_135249_seed80.log
FD004	D	88	17.7176551819	1760.64160156	final	/CMAPSS-release/logs/FD004_FD004_D/seed88/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_135808_seed88.log
FD004	D	97	18.5154685974	2354.18554688	final	/CMAPSS-release/logs/FD004_FD004_D/seed97/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_140335_seed97.log
FD004	E	2	39.0936126709	79862.28125	final	/CMAPSS-release/logs/FD004_FD004_E/seed2/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_140855_seed2.log
FD004	E	17	40.4334869385	140850.125	final	/CMAPSS-release/logs/FD004_FD004_E/seed17/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_141220_seed17.log
FD004	E	27	40.5077667236	112447.21875	final	/CMAPSS-release/logs/FD004_FD004_E/seed27/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_141537_seed27.log
FD004	E	30	40.9417877197	135140.609375	final	/CMAPSS-release/logs/FD004_FD004_E/seed30/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_141854_seed30.log
FD004	E	33	38.9425735474	87031.875	final	/CMAPSS-release/logs/FD004_FD004_E/seed33/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_142244_seed33.log
FD004	E	51	39.1009864807	115463.34375	final	/CMAPSS-release/logs/FD004_FD004_E/seed51/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_142648_seed51.log
FD004	E	62	40.7049255371	118843.421875	final	/CMAPSS-release/logs/FD004_FD004_E/seed62/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_143014_seed62.log
FD004	E	80	38.8135528564	87312.9296875	final	/CMAPSS-release/logs/FD004_FD004_E/seed80/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_143337_seed80.log
FD004	E	88	41.6242332458	97621.7734375	final	/CMAPSS-release/logs/FD004_FD004_E/seed88/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_143731_seed88.log
FD004	E	97	39.5418319702	108374.984375	final	/CMAPSS-release/logs/FD004_FD004_E/seed97/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_144136_seed97.log
